,Strengths,Weaknesses,PER,WS_48,VORP,Bust
213,"Lee was a prolific scorer at Vanderbilt, especially when fellow star Aaron Nesmith went down with an injury last season. Lee took over the Commodores offense with an average of 18.6 points per game as a junior … He is an explosive player who gets to the rim at will and finishes well when he gets there. His slashing ability and playmaking are his greatest strengths as he tries to improve his perimeter shooting game … Lee averaged over four assists per game in his final season and got to the line over six times per game in his final two seasons. He improved from 67% to 75% in these attempts from the line in his final season … He is a fierce defender who averaged at least a steal per game in all three seasons at Vanderbilt. His 6’9 wingspan at only 6’2 is very enticing and combined with his speed and quickness, he looks to be a nightmare to guard on the ball and to go up against as the on-ball defender … Lee shot 55% on two-point shots as a junior showing how great he is around the rim, especially with his massive volume with 13 shots per game … Great ball-handling and quick twitches also make Lee formidable in isolations … Lee is one of the more interesting players in his class because of his long wingspan and great explosiveness. His mix of size and speed will make him a rookie to watch with such a high ceiling.","While Lee has great measurements and athleticism, his jump shot is just as unusual as his long wingspan on a small body. He shot only 33% in his three-year career and his shooting form is very unorthodox. He will certainly be a project and will have to rely on his slashing ability to make up for a lack of a jump shot early on in his career … Lee handled the ball a lot in his final season, but three turnovers per game is also hard to look past. He will have to take better care of the ball at the next level in order to get meaningful minutes … Off-ball defending became an issue a little too often and will have to improve rather quickly in his career … Lee has the quickness, but strength will be a major question mark. He will need to be able to fight through harder screens and go up with taller, stronger defenders on these drives that he was so effective with in college. He could get pushed around much more than he was at Vandy with a short off-season and less time to bulk up with a true, professional workout regimen.",13.7,0.084,0.3,TBD
214,"Hughes is a smooth athlete with nice explosiveness, capable of finishing above the rim when he gets an opening … Polished ball skills … Effective in the open floor as well as playing in the half court … Has solid scoring ability and versatility … Shows quality ability to break down opponents off the dribble, and has some decent wiggle in ISO situations … Understands how to set up opponents with change of speed, hesitation moves … Drives the ball well and has touch when he can’t complete plays with dunks … Utilizes finger rolls and floaters well … Handles the ball well for a wing and routinely brought the ball up for Syracuse … Shows a good shooting form and can fill up the bucket with points in a hurry, averaging 19 ppg as a junior … Shot 81% from the FT line … Can pull up off the dribble as well as knock down shots on catch and shoot situations … Not a black hole, despite being the team’s go to scorer. Does a solid job of looking to get teammates involved … A good passer and protects the ball well averaging 3.4 assists to 2.3 turnovers … Has shown steady improvement as a shooter and scorer, raising his FT% steadily throughout his college career … Confident player, doesn’t get rattled easily and shows solid competitiveness … Solidly built frame at 215 lbs … Shows solid anticipation to jump passing lanes on defensive end … Solid rebounder, showing a willingness to give up his body and battle bigger player for boards (4.9 per game) … Contributed nearly a block per game (0.8 per) in both sophomore and junior seasons … Extremely consistent player, putting up double digits in all but two games … Considered a high character guy and good teammate … Solid length with a wingspan that appears in the 6-9 to 6-10 range …","Lacks ideal height for the wing position … Athleticism is solid but not elite. Finished a lot of plays with finger rolls and got his shot blocked around the rim a fair amount … Limited upside as he turned 22 on March 10th … A good shooter, but his three point percentage dipped to 34% with a lot of pressure put on him to score from the perimeter … Defense is a concern as he will need to re-learn some of the basics of spacing and man defense, having spent two years at Syracuse following his transfer from East Carolina … Over confidence in his shooting leads to too many shots from too far outside the three point arch. While he has the range, his tendency to launch shots 5 feet beyond the line raises some question marks … Appears that he could tone his body some … Can be over ambitions with his passing at times, trying to thread a needle or look for the spectacular play …",5.8,-0.039,-0.5,TBD
215,"Woodard made a name for himself in the SEC as a defensive force both on the perimeter and in the post … He averaged both a steal and a block per game as a sophomore, but his effect and impact went far beyond the stat sheet … He has a 7’2 wingspan which allows him to be disruptive on handoffs and elevate at the rim with taller big men … Woodard also improved immensely from year one to year two in Starkville. He improved his three-point shooting from 27% to 43% and averaged over 11 points per game for the Bulldogs … Woodard also improved driving to the basket. He has great bounce and showed it on some powerful dunks. He also uses this bounce effectively to hang in the air longer and maneuver his body around defenders while still in the air. This allows him to have great finishing above and around the rim … He also showed smart and effective movement off the ball allowing him to get some easy buckets at the rim … He positions himself well in the post and gets up for rebounds as he averaged over six per game in 33 minutes per contest … His aggressive defensive playstyle did not lead to many fouls with an average of under two fouls per game … He looked much more comfortable from beyond the arc in his second season and was very effective as a spot up shooter … He also looked sharper with his pull-up jumper and showed potential with his mid-range shooting … Woodard’s best trait is undoubtedly his hustle and his effort. He was the heartbeat of the Bulldogs squad and this high work ethic will allow him to find a spot on a team and work his way up. While he may not be drafted, he will not disappear and will almost certainly get a chance somewhere because of this determination …","Woodard makes up for a lot of his weaknesses with his hard work and hustle but there are still some glaring weaknesses in his game … He is only 6’7 so he needs to have much better ball-handling than he does right now … This poor ball-handling eliminates any possibility for him to be a facilitator or a shot creator. He struggles to get open on his own and he requires a lot of space to make three pointers because of his very slow, Draymond Green-like release. He improved his three-point shooting but it came at a cost as he needs his lower body to squat down and release his shot slowly. He will need to increase the speed of his jumper if he is going to have any success … He will have to play as a rebounding, defending power forward with the potential to spread the floor if he can make his jump shot faster. Again, because of his size this will be a tough transition going up against much larger and stronger NBA forwards … His free-throw shooting is also a cause for concern. He shot only 58% as a freshman and 64% as a sophomore … He is not outstanding in anything that he does, outside of his hustle and effort. He is a very good defender and a good rebounder, but he did not dominate enough in either of these categories in college to suggest that he will do so at the next level.",7.5,-0.077,-0.1,TBD
216,"Floor general at point guard, works to set up teammates for open looks … Great decision maker, limits turnovers … Finds passing lanes and makes easy dump-offs to big men … Shows potential on three-point shot (increased from 26.2% to 36.1% in sophomore campaign) … Can hit pull-up for jumpers off the dribble on the break as well as in the half court set … Effective use of head fakes helps collapse defenses … Runs a transition offense very well … Footwork is solid on both ends of the court … Defensively, one of the best at anticipating and jumping passing lanes, leading to easy transition buckets … Very capable on ball, perimeter defender against quicker, shorter guards … Has the ability to stay in front of ball-handler from baseline to baseline in press defense … Disciplined defender, doesn’t reach or leave the ground on head fakes … Arguably the best defensive point guard in the class … Has shown a willingness to take the big shot down the stretch and has been successful when doing so … Has a lot of competitiveness and inner-strength. Wants to win at all costs, low-ego and plays unselfishly … Just turned 20 in January and improvement from year one to two shows promise in future progression …Tre Jones was the fourth most talked about Duke freshman this season, and also the younger brother of Minnesota Timberwolves guard and Duke national champion, Tyus Jones, so he has an underdog mentality … Plays with a lot of toughness and determination … Jones was arguably the best perimeter defender in college basketball this year … He’s so quick, has great footwork, and can stay in front of guys the whole length of the court … He stays disciplined on the ball, rarely going for head fakes and makes it extremely difficult for opposing guards to get by him … He’s also a very active and intelligent defender off the ball, possessing great anticipation leading to a high steal rate … Offensively, Jones is an unselfish floor general, who runs the offense with great decision-making … He’s so smart with the basketball, turning the ball over about just once per game this past season … He has great vision and is an excellent distributor, resulting in an absurd assist to turnover ratio of almost 6:1 … His quickness allows him to get into the lane almost at will, and he always keeps his head up looking for open cutters/a dump off pass down low to one of his big men … Jones also has all of the intangibles that you want in a player … He’s very unselfish and one of those guys that would be just as happy scoring 25 as he is not even attempting a shot the entire game, as long as he gets the win … His defense, poise, and leadership are all things that are essentially guarantees every game, and are qualities that every team at the next level would love to have in a point guard …6’3 pure point guard … Leader with a high basketball IQ. Great court vision. Brings the best out in his teammates. Directs traffic. Led the Nike EYBL in assists with 8.3 per game to 1.8 turnovers per game … Smooth with the ball and handles well in traffic. Changes speed. Can get to the rim off the dribble. Has a good midrange game and touch on floater … Good pick and roll ballhandler. Plays with craft and creativity. Reads and reacts, doesn’t predetermine his offense. Highly unselfish … Scored well at the high school level. Averaged 19.3 points per game over the Nike EYBL and shot 56.5% from the floor … Fundamentally sound. Never in a hurry, plays at a good pace and under control … Good aggression but doesn’t force his impact … Draws a lot of fouls and reliable free throw shooter. Shot 5.7 free throws per game over the Nike EYBL and shot 80% … Anticipates and shows willingness as a defender. Fights over and avoids screens. Finished top five in steals over the Nike EYBL with 1.9 per game …","Shooting consistency is probably the most glaring weakness. Although, he was able to answer critics with solid shooting numbers and improvement as season progressed … Can be a streaky shooter, taking longer than desired to realize he doesn’t have it on a given night … Release is a little slow, seems to lack confidence sometimes … Perhaps it was due to system, but his pick and roll game is still in need of refinement … Can run simple pick and roll as a ball-handler, but doesn’t explode off the edge or thread the needle to the roller … Defenses really challenged him to hit shots while at Duke, especially since he was deadly as a set up guy and had a lot of talent around him … Athleticism is slightly below average for today’s NBA point guard … Plays below the rim, quick but not explosive … Struggles to create his own shot and get past better defenders off the dribble … Not a primary creator, may needs talent around him to take the eye off of him … Struggles to finish amongst the trees … Shows some crafty ability, but doesn’t deal with contact too well … When switched on defense, can be a liability because of size … Can grab long rebounds, but obviously can’t compete with bigger players … Smaller frame (6’2  and 185 lbs.) for an NBA lead guard (6’4”” wingspan), though not terrible …The main area of concern with Jones right now is his shooting … He doesn’t shoot very much, and doesn’t shoot it at a high percentage when he does fire away … He hesitates fairly often when he has an open look from outside, which either stems from his release being on the longer side, or just Jones lacking confidence in his shot. Jones is also on the smaller side for an NBA point guard. He has room to fill out his frame as well, and could benefit greatly from putting on weight in preparation for the draft. While he’s listed at 6’2, which is essentially the minimum height you’ll see for guards in today’s NBA, he looks to be a little shorter than that. His measurements at the combine are something to look out for and could potentially impact his stock if he’s not quite as tall as he’s currently listed … Lacks elite size but solid with a 6’4 wingspan and 8′ foot standing reach …Doesn’t have great size or length with a 6’4 wingspan and 8’0 standing reach … Isn’t an explosive athlete … Has a slight frame, lacking strength, only weighing 187 pounds. Getting to the rim and finishing in traffic will be an adjustment in college and beyond … Needs to improve jump shooting and perimeter scoring. Only shot 27.3% from three over the Nike EYBL. With his lack of athleticism and length, improving his jump shot is a must …",15.3,0.094,0.8,TBD
217," A long, athletic center who realized his potential in the past season …  Explosive leaper … Attacks the rim for ferocious dunks … Raised his scoring average considerably to 14 ppg and his FT shooting up to 75% … Legit 7-footer with 7’2 wingspan, excellent size for NBA center position … Shows potential as a rim protector, shot blocker … Although he averaged only 2.1 blocks per game, he can improve upon this skill with focus on timing and technique … Shooting has shown solid improvement … Solid mobility and fluidity … Very good leaper and runs the floor well … Rim runner. An excellent lob target as he skies above the rim with ease … Developing hook shot to both sides … Showed some ability to knock down mid-range shots, and his form has shown steady improvement … Also added a nice turnaround jumpshot from mid range … Added consistency and greater focus on both ends in his junior season … His great legs and feet give him potential to guard the perimeter better than most centers …6’11.75 center … Good size and length with a 7’3.75 wingspan and 9’0.5 standing reach … Good mobility and athleticism … Explosive and quick off the ground, measured the highest standing vertical at the Nike Hoop Summit at 30 inches … Runs the floor well … Good coordination and fluidity … Shoots a high percentage within close, 58% over the Nike EYBL … Hits 3s in warm up situations with time to set up showing nice potential as a shooter … Solid foundation for a post-game … Good footwork at this stage. Shows a fade away in the post that he uses sparingly right now … Doesn’t force his offense. Passes out of the post. Buys into his role as a big man … Stays within his scoring range, doesn’t step out to the perimeter … Stays ready for a pass when a guard penetrates to dump off to him … Good shot blocker, averaged 2.1 per game over the Nike EYBL … Good rebounder. Gets good lift and secures with two hands … Good stroke from the free throw line … Big frame and strength level …","Lacks great skill offensively … A bit robotic with his offensive movements, and at times looks like he struggles to adjust if his first move gets taken away … Feel for the game is below average and he gets lost on both ends of the floor at times … Doesn’t appear to have a great deal of offensive potential, granted his shot has improved … Will turn 23 at the end of November, limiting his long term potential … Rebounding could be better with improved technique, and more aggressiveness, 7.8 per game is solid but doesn’t stand out for a player with his size and athleticism … Post game, while improved remains at a low level … Passing and decision making remain a work in progress, though they have shown improvement …Can be passive at times … Lacks a consistent motor and intensity, “Laid back” … Doesn’t always assert himself … Can drift in and out of the action … Can be more physical … Has trouble finishing with contact or in traffic … Post game is raw … Needs work on his jump hook and lacks consistent touch inside. Is limited to simply catching and finishing most of the time … Lacks awareness and feel for the game. Gets out of position defensively. Struggles defending one on one especially in isolation … Leaves his feet on defense too much … Doesn’t handle double teams well. Tries to put the ball down in traffic. Needs to keep the ball high in the post and after rebounds … Limited face up game. Has much room to expand his range …",17.3,0.151,0.1,TBD
218," A mature, tough nosed freshman combo with intriguing versatility … Possesses a scorer’s mentality. Has an excellent feel for the game, displaying a variety of ways to score and generally makes the right play … Brings a lot of versatility with his ability to defend either guard position and play a smart brand of unselfish, team ball … Effective scorer who was excellent from behind the arch this year (42.6% from three on a high volume of shots 60-141, making 2.2 of 5.2 per game) … Has a developed body for a freshman and solid length with a 6-foot-7 wingspan … Shows solid intangibles and leadership qualities … Excels at creating in isolation, with the ability to get opponents off balance and pull up quickly … Quality ball handler … Takes what the defense gives him … Very good in catch and shoot situations … Not a speed burner, but makes up for it with hesitation dribbles and fakes to get open … Solid floor game, with good ability to pull up in mid-range … Clean, concise shooting motion … Polished step back jumper … His quick release and long arms help him to get shots off on defenders … Comfortable shooting without much space … Utilizes floaters well when there are bigs obstructing his path to the rim … Did not play the point position a great deal at Texas Tech, but there’s intrigue in his potential as a combo guard that can defend and play back up point guard at the next level … Has surprising ability to rise and block shots, utilizing his quick leaping ability and sneaky length … Solid rebounder for a guard with 4 per game, getting up for boards and seeking them out with good energy … One of the youngest prospects in the entire draft, having turned 19 in early June …","Undersized at the 2G position at 6’4  … More of a scorer than a true point that can run a team and set the table … Not the fastest player. Lacks elite burst and speed in the open floor … Can improve in his ability to play the pick and roll … First step is just average, and struggles to get by and separate against quick defenders … Shot just 64% from the free throw line in his freshman season … His struggles from the line are a bit of a mystery considering how proficient a three point shooter he was … An explosive leaper, but doesn’t always utilize it. Seems to explode better off of two feet or when he has time to gather, but not as explosive off a full sprint … Appeared to have more explosiveness in high school … Can be a little sloppy with his passing … While his assist to turnover numbers were at least in the positive (2.2/2.0), he doesn’t generally create offense for others … Occasionally will make impressive passes, but is more adept at scoring and creating for himself …",8.9,-0.023,-0.2,TBD
219,"Fluid 7-footer, with acceptable level of athleticism… Has long arms and nice length … Wide shoulders, his body looks like he can bulk up well … Good feel for the game … Good basketball IQ … Light on his feet … A good leaper off two feet, with a good second jump … Versatile, has been used in both frontcourt positions … Pretty quick for a 7-footer … Runs the floor very well … Excels in the open floor and is pretty good in transition for a big … Has very good coordination for his size … Nice touch around the basket … Stretch-Big potential … Has nice shooting mechanics … Good shooter when his feet are set … Good free throw shooter, which is an indication of his potential as a Stretch Big … Shows proficiency in spot up situations … He is a considerable threat in Pick and Pop situations … Can attack closeouts and drive to the basket … Very good in Pick and Roll situations as the screener … Sets good screens and rolls hard to the basket … Has soft hands … Can be an alley-oop target after setting a screen … Can become a rare case of a big who is equally effective in Pick and Roll and Pick and Pop situations… Has good footwork in the post, can turn from either shoulder … Has shown flashes of ability as a passer … Not afraid of contact and can draw a lot of fouls … Very good rebounder, at least at his current level … Really active on the offensive glass, can put a lot of pressure on opponent’s defense, hunting offensive rebounds … Smart defender … Solid rim protector thanks to his size and length … Has good lateral quickness for his size … Already knows the low of verticality, which helps him avoid fouls …","Decent athlete, but not overly athletic by NBA Standards … Needs to bulk up and add weight, but at the same time not lose any mobility … His motor can come and go on the defensive end … Needs time to gather before jumping, which could limit him at the next level … Struggles against physical opponents because of his thin frame … Has some problems finishing through contact and in traffic … He has the tendency to rush things a little at times when he is crowded in the paint … It’s difficult for him to finish through contact because of his lack of upper body strength … Has a slow shooting release, because he wants to bring the ball to his hips before attempting a shot, which gives time to defense to close out on him … Inconsistent 3-point shooter for now and kind of streaky … He should learn to control his body better when attacking the rim … His post up game is pretty basic for now … Must add some counter moves in the post … He might be able to turn from either shoulder while posting up, but it’s obvious he prefers to turn over his left shoulder … Despite his potential as a passer, he still needs a lot of polish in that area … He can telegraph his passes, or try to pass in wrong places at times … Has major problems covering pick and pop action, he looks a step or two slow against Stretch bigs … He can’t really guard Stretch-4s for now … Mostly a drop defender in defensive Pick and Roll, his just average lateral quickness doesn’t really help him … Lacks the elite “pop” while jumping, which could make it easier for elite athletes to finish at the rim against him … Bulkier bigs are able to out muscle him in the post and easily score against him …",6.4,-0.026,-0.1,TBD
220,"A 6’7’’, 215-pound forward with effortless scoring abilities … A catch and shoot threat, lets the ball go with a high and quick release … His feet are almost always set when he catches the basketball … As a sophomore at Louisville, he took advantage of his expanded role, leading the team in scoring (17.0 ppg) … Excels at navigating his way to the rim, where he proceeds to finish effectively … Possesses a high IQ and awareness, which is critical to his scoring ability … Plays a controlled, cerebral game … Knows to pull up for floater when he sees a defender stepping in position to take a charge … Above average ball-handling skills … His height and length allows him to shoot over smaller defenders … A great off ball defender … Makes the right reads, knowing when to switch or help … Crashes the boards, averaged 7.6 rebounds per game this past season … His height, wingspan, scoring skillset and strong rebounding abilities make him a very versatile and attractive prospect … Sneaky athlete. Will surprise defenders and get up for a dunk, more athletic than he appears … High character, mature, well spoken individual …  Weaknesses: He is an average athlete, which may prove to be problematic when competing against stronger, faster wings … Underwhelming speed and athleticism … Somewhat between positions as a 3/4 without a great ability to defend either position … Tends to hoist up questionable shots … Often forces the action with the shot clock winding down, tossing up a difficult 3-pointer … For the amount of 3-point attempts he takes per game (6.1), he could improve some in that area, shooting 37.4% from beyond the arc as a sophomore … Needs to bulk up his thin frame or else he may get pushed around by more physical players at the next level … Not particularly quick laterally, and lack of a quick first step could limit his offensive effectiveness … 1.3 assists to 2.4 turnovers shows that he needs to get better at protecting the ball. Though being such a focal point of Louisville’s undermanned offense surely played into those numbers …","He is an average athlete, which may prove to be problematic when competing against stronger, faster wings … Underwhelming speed and athleticism … Somewhat between positions as a 3/4 without a great ability to defend either position … Tends to hoist up questionable shots … Often forces the action with the shot clock winding down, tossing up a difficult 3-pointer … For the amount of 3-point attempts he takes per game (6.1), he could improve some in that area, shooting 37.4% from beyond the arc as a sophomore … Needs to bulk up his thin frame or else he may get pushed around by more physical players at the next level … Not particularly quick laterally, and lack of a quick first step could limit his offensive effectiveness … 1.3 assists to 2.4 turnovers shows that he needs to get better at protecting the ball. Though being such a focal point of Louisville’s undermanned offense surely played into those numbers …",11.6,0.045,-0.6,TBD
221,"Lefty wing with solid scoring ability … Above average shooter, showing the ability to knock down outside shots with solid regularity … Has excellent form on his shot. Quick, concise release … 36.7% career three point shooter in 2 seasons at Washington State … Cerebral player, and seems to overcome lack of speed with great anticipation … Confident player, who has a nose for scoring … Crafty at creating shots, using hesitations and playing physical to create space … Utilizes a nice fadaway to create additional space for scoring opportunities … Has a stepback jumper from the perimeter … Better in the half court due to his skill level and lack of run/jump ATH … Shows some solid passing ability … Excellent rebounder for a wing at 7.8 per game … Aggressive nature and toughness, plus being better jumping off 2 feet helps him on the boards … has a floater he has polished to finish off drives over bigs in the paint … Despite lacking great foot speed, 1.8 steals per game is a testament to his hustle and great anticipation … Turned 20 in June making him younger than many sophomores …","Not very explosive or athletic … Lacks speed in the open floor … Unorthodox athlete, better off 2 feet and seems to explode better when he has time to gather himself … Takes a lot of contested jumpshots. Shot selection must improve. Although he was forced to take illadvised shots due to being Washington State’s first scoring option … Lack of foot speed hurts him defensively … Likely to struggle to get shots, especially if he’s forced to create for himself … Lack of foot speed will make it tough for him to create scoring opportunities, other than catch and shoot coming off screens … lacks great length with just a 6’7 wingspan at 6’7 height and 8’4.5” standing reach …",9.2,0.018,-1.1,TBD
223,"Mannion is a crafty 6’3 guard who has a nice base of skills for a young guard prospect, including solid creativity with the ball in his hands and shooting and play making ability … Possesses a good groundwork of fundamentals and feel for the game … An agile athlete, more of a glider than explosive … Already is really comfortable handling and dealing in pick and roll offense, which likely will be his bread and butter in the future, as he’s adept at keeping bigger guys off balance, often getting a step on them or having them on his hip after a switch … Has nice footwork, and utilizes a nice amount of shifty change of pace moves off the dribble to get into the lane or create spacing … Likes to create offense for himself but also flashes advanced timing and instincts as a passer (5.3 apg; 2/1 A/TO), making a good amount of pocket passes when on the move … Most effective working the mid-range currently, and seems to be more comfortable operating and taking shots off the dribble than with his feet set … Has some raw shot-making ability, at times hit impressive long range shots off the dribble against solid defense … Sound shooting technique and follow through, most of his shots look in rhythm … Shows a soft and effective one-handed floater, which is probably his go-to shot when attacking off the dribble … Likes to play up-tempo and in transition too, being capable of making highlight passes and often dazzling with his open court vision … At times flashes the ability to get creative as a finisher at the rim, and can also finish above the rim when he gets a head of steam and a step on his man … Though he’s not a finished product, has shown signs of becoming a nice all-around offensive guard prospect with untapped potential as a shooter and floor general … A highly touted 5 star HS recruit, Mannion has good bloodlines as his father Pace Mannion was a 5-year NBA vet … There is a prevailing theme that Mannion has a high prospect ceiling because the majority of his current weaknesses as a player can be improved with time and experience …6’3 point guard … Creative style of play with good footwork and change of speed. Good ball handler, creates offense for himself and teammates. Good ambidexterity, drives and makes one-handed passes with his left or right hand … Averaged 14.1 points per game over the Under Armour Association in 2018. Led the U16 European Championship A in scoring with 19.9 points per game in 2017 … Shoots well off the catch, dribble, or step back. Good midrange scorer. Shoots well from three and has range out to the NBA 3PT line. Shot 38.1% 3P% on 5.3 attempts per game over the Under Armour Association in 2018. Shot 35% 3P% on 5.7 attempts per game at the U16 European Championship A in 2017 … Reliable free throw shooter. Shot a fourth best 86.2% FT% over the Under Armour Association in 2018. Shot 78.4% FT% at the U16 European Championship A in 2017 … Leads in transition and in the half-court. Plays under control, good balance of playing aggressive without forcing his impact. Also, knows when to score and when to distribute, with ability to run the point and play off the ball. Good passing and court vision. Finished second in assists with six per game over the Under Armour Association and the second best assist/turnover with 2.8 in the league in 2018. Finished sixth in assists with four per game at the U16 European Championship A in 2017 … Competes on the defensive end. Averaged 1.5 steals per game over the Under Armour Association in 2018. Led the U16 European Championship A with three steals per game in 2017 … Draws fouls at a good rate … Unselfish. Leader on the floor, plays with competitiveness and passion …","Though on the surface Mannion’s prospect checklist is pretty impressive, he Is not always the sum of his parts … While he is a pretty good playmaker and generally shows a relatively high basketball IQ for a young lead guard, he will sometimes bail out the defense by taking difficult shots or playing hero ball when he should just be patient and make an extra pass or set up the half-court offense … He still has some maturing to do as a point guard and decision maker … His shot looks nice, but the results become more inconsistent the further away from the basket he is, and he struggled with his efficiency all season as a Fr … Shot selection needs improvement, but Mannion also needs more repetition in practice as a set shooter, as there is no doubt he has the ability to and would benefit from being able to knock down open shots with more consistency after being streaky at Arizona … Though he likes to work the mid-range, his favorite shots are usually low percentage floaters and runners, and he really struggles to both get all the way to the rim or finish with much effectiveness against taller athletes…Is not more than an adequate athlete by NBA standards, wont blow anyone away with his speed or explosiveness … Doesn’t project to be a plus defender in the NBA with his middling physical skills, effort and athleticism and may also struggle to defend most SGs at the NBA level after having a hard time trying to defend bigger guards in college when he had to … Struggled to live up to his abilities as an outside shooter, connecting on just 32% of his three pointers in his freshman season …Doesn’t have great size and length with a 6’2.5 wingspan and 8’1.5 standing reach … Smooth athlete but isn’t incredibly explosive, especially when comparing him to other top guards of his class. Nice first step and change of speed but lacks elite quickness, hindering him as a perimeter defender … His lack of size and athleticism can limit him as a creator and finisher, may have to be more reliant on creativity at the next levels … Has room to get stronger …",9.3,0.029,-0.2,TBD
224," Long, rangy player who appears to have excellent upside as a shooting specialist … High level outside shooter, particularly catch and shoot. Three point shot dipped in sophomore season (34.2%),but remains a very intriguing outside shooter having hit 41% as a freshman and shot 89% from the FT line this season … Tremendous form on his shot, balance, follow through and quick release … With solid length, he’s able to get his shot off over defenders without much space … While he’s only 6’4 in shoes, he has good length with a 6’7.5 wingspan and 8’5 standing reach … Frame appears that he should be able to add weight … Solid anticipation playing the passing lanes on steals … Has sneaky athleticism when he’s given a lane to the basket … His ability to shoot, combined with his length and fluidity make him intriguing … Did a solid job of cutting down on turnovers in sophomore year 1.7A/1.2TO … Solid defender and should improve as he adds strength …","Struggled from three as a sophomore, as previously mentioned … Struggled when forced to create his own offense, especially against athletic and strong defenders … Shot selection brough his efficiency down some, but perhaps he was asked to do too much, and create shots, even when teams when focusing their defenses around him … At 170 lbs, lacks strength to finish through contact and can easily be outmuscled on defense and around the basket … Ability to drive and finish or make plays in the paint is severely hampered by his lack of strength … Lacks great leaping ability and explosiveness to finish through contact, though added core strength could improve his leaping … Not the greatest passer, lacks great court vision and generally looks to score when he gets the ball, not create baskets for teammates … Legs are too weak to finish off drives at times, especially when he runs into contact … May take some time to fill out his body and adjust to the NBA game …",11.9,0.098,0.5,TBD
225,"Mays was a four-year starter for the LSU Tigers, and he made an impact in a variety of different ways while leading the Tigers back to SEC relevance … Mays is a relentless defender and has the size at 6’4 with a 6’7 wingspan to disrupt a lot of NBA guards … Defense is his specialty, but Mays showed a lot of promise in his final season at LSU with regard to his jump shot. He improved to 39% from three-point range and remained steady at 85% from the free-throw line … This dramatic improvement from the perimeter, along with a 49% FG have Mays looking like an NBA ready role player right away … Defensively Mays was a true pest averaging nearly two steals per game in his final two seasons for the Tigers … Plays effectively on both ends of the floor and rebounds well on defense for a guard with five rebounds per game as a senior … Can also run the point and facilitate the offense with over three assists per game while being listed as the shooting guard … Great finisher around the rim with a 55% 2-PT … Moves well enough laterally to stay with quicker guards and has enough size to fight with larger wings … Mays has a ton of experience as a four-year starter … Consistently stayed out of foul trouble despite playing good defense against talented players … He averaged under two fouls per game in every season he played … He took on more on-ball responsibilities in his final season, which led to an increase in turnovers, but it only increased to 2.3 turnovers per game which is far from poor … Unquestioned leader for the Tigers and a great locker room guy who will do everything he is asked; can provide a spark to a team on either side of the ball …","Mays is experienced but it also makes him one of the older players in the draft at 23 years old … Consistency is a major struggle, especially on the offensive end. You never know what you are going to get from him in terms of offensive production … He improved his outside jumper, but there is still plenty of room for improvement for an older player … Forced turnovers with a bunch of steals, but rarely blocked shots with only 25 in 130 games (0.2 per game) … Rebounded well in college, but never on the offensive glass with only 0.5 per game … More natural shooting guard in college, but he is only 6’4 and will most likely have to play more point guard. This transition to a different position will slow his development when he is already behind as one of the oldest players in his class … Mays is a decent player with the ball on offense and defending on the ball, but he struggles to make an impact off the ball on either end.",15.9,0.123,0.4,TBD
227,"Freakish athleticism. Plays way above the rim. Great shot blocker, rebounder. Offensive game is vastly improved. Can post up and take his man off the dribble. Excells in crunchtime as witnessed versus DePaul. Strong character.  Weaknesses: Size, just under 6-9 and doesn’t have much upper body strength. Will get pushed around some. Injury questions."," Size, just under 6-9 and doesn’t have much upper body strength. Will get pushed around some. Injury questions.",14.9,0.096,1.1,TBD
228,"Winston is a outstanding college PG who will be wrapping up a legendary career at Michigan State that includes a Final 4, a Big 10 POY award, and the school’s all-time assists record … Winston is a very smart PG with good floor vision, passing skills and an excellent feel for the game … Savvy player, can run an offense and get teammates good shots and put them favorable spots with consistency while also using change of pace and shiftiness to create for himself off the dribble … Decent shooting ability, can hit open shots and shots off the dribble at an adequate or better rate … Has floaters in his arsenal, which will be needed for his style of play and physical attributes … Good pick and roll player, is a threat to kick out to shooters on the perimeter or hit the screener for an open shot to keep the defense on their heels … Generally keeps bad decisions to a minimum…Has matured his offensive game from more of below average scorer and shooter, to a 18 ppg scorer and close to 40% from 3 on 5 attempts/game over the last 2 seasons … Somewhat of an overachieving type, Winston is tough and will play through injuries and gut out performances in crunch time … Is a good FT shooter, someone you can trust with the ball late in ball games … Leadership skills and intangibles are among the best in the 2020 draft class, highly unselfish and by all accounts a good teammate and student athlete …","Winston is not physically gifted, standing at an ordinary 6’1 190 lbs without any true NBA-level athleticism to speak of … Not particularly quick or explosive, will have trouble finishing at the rim and playing defense against other PGs in the NBA … Also has a very unathletic looking body type …  For as cerebral as he is, he can be turnover prone and did at times cost his team games by coughing up the ball too much … Has put up pretty good shooting numbers in his college career, but his release is a bit on the slow side and it figures to be easier to defend at the next level … Doesn’t look great in the open court … Wasn’t anything special as an on-ball defender in college, doesn’t really create turnovers or get under the skin of opposing guards the way most undersized guards do … Has to rely on smarts and skill solely to win matchups due to limited physical profile …",9.4,0.051,-0.1,TBD
